rid,uid,role,feature,benefit,novelty_avg,ustories,stories
142,home occupant,my driveway lights to be turned on when sun goes down,when I get home it is safe pulling into my driveway.,Safety,3.0,my driveway lights to be turned on when sun goes down when i get home it is safe pulling into my driveway. safety,"['driveway', 'light', 'turn', 'sun', 'go', 'get', 'safe', 'pull', 'driveway', 'safety']"
135,home owner,a device that can mix cocktails and allows me to choose what i want made,i can entertain better,Entertainment,3.3333,a device that can mix cocktails and allows me to choose what i want made i can entertain better entertainment,"['device', 'mix', 'cocktail', 'allows', 'choose', 'want', 'make', 'entertain', 'well', 'entertainment']"
141,home owner,my electricity should be monitored with the help of daily report to my mobile automatically ,i can save energy ,Energy,3.5,my electricity should be monitored with the help of daily report to my mobile automatically  i can save energy  energy,"['electricity', 'monitor', 'help', 'daily', 'report', 'mobile', 'save', 'energy', 'energy']"
144,cook,"weekly meal plans to be automatically generated based on my nutritional needs and preferences (as well as those for my family,) and for a shopping list to be generated to obtain needed items",I can always know the best meals to prepare for myself and my family.,Health,3.8333,"weekly meal plans to be automatically generated based on my nutritional needs and preferences (as well as those for my family,) and for a shopping list to be generated to obtain needed items i can always know the best meals to prepare for myself and my family. health","['weekly', 'meal', 'plan', 'generate', 'base', 'nutritional', 'need', 'preference', 'well', 'family', 'shopping', 'list', 'generate', 'obtain', 'need', 'item', 'always', 'know', 'best', 'meal', 'prepare', 'family', 'health']"
142,home occupant,an alert when my dog is standing by back door,I know that I need to let them out.,Other,4.3333,an alert when my dog is standing by back door i know that i need to let them out. other,"['alert', 'dog', 'stand', 'back', 'door', 'know', 'let']"
136,home occupant,to control temperature and spray of my shower,so that I can save on energy costs.,Energy,2.5,to control temperature and spray of my shower so that i can save on energy costs. energy,"['control', 'temperature', 'spray', 'shower', 'save', 'energy', 'cost', 'energy']"
145,home occupant,A big tv in the attic that can move into whatever room I'm in,I could watch tv at any room ,Entertainment,1.0,a big tv in the attic that can move into whatever room i'm in i could watch tv at any room  entertainment,"['big', 'tv', 'attic', 'move', 'room', ""'m"", 'watch', 'tv', 'room', 'entertainment']"
144,home occupant,"an inventory to be taken of my groceries and personal items, and a shopping list to be automatically sent to my smartphone.","I always have the items I need, and know when I am running out.",Other,3.5,"an inventory to be taken of my groceries and personal items, and a shopping list to be automatically sent to my smartphone. i always have the items i need, and know when i am running out. other","['inventory', 'take', 'grocery', 'personal', 'item', 'shopping', 'list', 'sent', 'smartphone', 'always', 'item', 'need', 'know', 'run']"
142,home owner,my smart home to notify me whenver water is leaking from a faucet,I don't waste water and get a big bill.,Energy,2.0,my smart home to notify me whenver water is leaking from a faucet i don't waste water and get a big bill. energy,"['notify', 'whenver', 'water', 'leak', 'faucet', 'waste', 'water', 'get', 'big', 'bill', 'energy']"
141,pet owner,to monitor my pets health problem automatically with detecting device  ,i can save my pets life,Safety,4.0,to monitor my pets health problem automatically with detecting device   i can save my pets life safety,"['monitor', 'pet', 'health', 'problem', 'detect', 'device', 'save', 'pet', 'life', 'safety']"
142,home occupant,my heated floors to turn on at 6:45 am ,they are heated once I get out of my morning shower.,Other,2.6667,my heated floors to turn on at 6:45 am  they are heated once i get out of my morning shower. other,"['heat', 'floor', 'turn', 'heat', 'get', 'morning', 'shower']"
136,home occupant,to be able to control the brightness of my rooms and turn off automatically when I leave the room,I can save on energy costs,Energy,4.0,to be able to control the brightness of my rooms and turn off automatically when i leave the room i can save on energy costs energy,"['able', 'control', 'brightness', 'room', 'turn', 'leave', 'room', 'save', 'energy', 'cost', 'energy']"
145,home occupant,a machine operated bed ,I could move around while in bed,Other,4.0,a machine operated bed  i could move around while in bed other,"['machine', 'operate', 'bed', 'move', 'around', 'bed']"
142,home occupant,to be alerted when someone enters my property,I can be aware of someone approaching.,Safety,4.0,to be alerted when someone enters my property i can be aware of someone approaching. safety,"['alert', 'someone', 'enters', 'property', 'aware', 'someone', 'approach', 'safety']"
144,home occupant,"my mail to be automatically taken into the house, and sorted by relevance and type",I can ignore junk mail,Other,3.0,"my mail to be automatically taken into the house, and sorted by relevance and type i can ignore junk mail other","['mail', 'take', 'sort', 'relevance', 'type', 'ignore', 'junk', 'mail']"
142,home owner,to be alerted when my energy usage appropaches an amount I set for the month,I can lower my bill.,Energy,4.5,to be alerted when my energy usage appropaches an amount i set for the month i can lower my bill. energy,"['alert', 'energy', 'usage', 'appropaches', 'amount', 'set', 'month', 'low', 'bill', 'energy']"
141,parent,my kids internet and home works should be monitored with the help of my mobile phones,i can control them from work,Entertainment,3.5,my kids internet and home works should be monitored with the help of my mobile phones i can control them from work entertainment,"['kid', 'internet', 'work', 'monitor', 'help', 'mobile', 'phone', 'control', 'work', 'entertainment']"
145,home occupant,A device to wash stove and tables,I wouldnt have to wash,Energy,3.6,a device to wash stove and tables i wouldnt have to wash energy,"['device', 'wash', 'stove', 'table', 'wouldnt', 'wash', 'energy']"
144,home occupant,surfaces to automatically detect and report sanitation levels in real time,I know what I really need to clean and when,Health,3.0,surfaces to automatically detect and report sanitation levels in real time i know what i really need to clean and when health,"['surface', 'detect', 'report', 'sanitation', 'level', 'real', 'time', 'know', 'really', 'need', 'clean', 'health']"
146,home occupant,my smart home's showers to automatically adjust to my desired water temperature,I'm not wasting water or time trying to find it,Entertainment,4.0,my smart home's showers to automatically adjust to my desired water temperature i'm not wasting water or time trying to find it entertainment,"['shower', 'adjust', 'desire', 'water', 'temperature', ""'m"", 'waste', 'water', 'time', 'try', 'find', 'entertainment']"
144,home occupant,"a television playlist to automatically be generated from my streaming services, based on likes and recommendations","view a sequence of shows I enjoy, and will enjoy, without lifting a finger",Entertainment,2.6667,"a television playlist to automatically be generated from my streaming services, based on likes and recommendations view a sequence of shows i enjoy, and will enjoy, without lifting a finger entertainment","['television', 'playlist', 'generate', 'stream', 'service', 'base', 'like', 'recommendation', 'view', 'sequence', 'show', 'enjoy', 'enjoy', 'lift', 'finger', 'entertainment']"
145,home occupant,projected figure to assist me with a click of a remote,i could get any help i need in any room,Other,4.0,projected figure to assist me with a click of a remote i could get any help i need in any room other,"['project', 'figure', 'assist', 'click', 'remote', 'get', 'help', 'need', 'room']"
146,home occupant,"a feature to locate commonly misplaced items, phones, glasses, wallets, keys",I can easily locate them,Entertainment,5.0,"a feature to locate commonly misplaced items, phones, glasses, wallets, keys i can easily locate them entertainment","['feature', 'locate', 'commonly', 'misplace', 'item', 'phone', 'glass', 'wallet', 'key', 'easily', 'locate', 'entertainment']"
145,home occupant,solar windows,I could save energy,Energy,2.5,solar windows i could save energy energy,"['solar', 'window', 'save', 'energy', 'energy']"
136,parents,to have high resolution and night vision camera for my baby,I know the second my baby is up and moving,Safety,2.3333,to have high resolution and night vision camera for my baby i know the second my baby is up and moving safety,"['high', 'resolution', 'night', 'vision', 'camera', 'baby', 'know', 'second', 'baby', 'move', 'safety']"
147,occupant,an oven that automatically sets the temperature and cooking time,cooking can be optimized.,Other,2.3333,an oven that automatically sets the temperature and cooking time cooking can be optimized. other,"['oven', 'set', 'temperature', 'cooking', 'time', 'cooking', 'optimize']"
146,daughter,my smart home to have a phrase that my mother can say if she ever needs help,She can easily get assistance if she has a medical emergency,Health,2.6667,my smart home to have a phrase that my mother can say if she ever needs help she can easily get assistance if she has a medical emergency health,"['phrase', 'mother', 'say', 'ever', 'need', 'help', 'easily', 'get', 'assistance', 'medical', 'emergency', 'health']"
141,parent,to know how my kids are in their schools and how their classes are going on live,i know how they study ,Safety,2.3333,to know how my kids are in their schools and how their classes are going on live i know how they study  safety,"['know', 'kid', 'school', 'class', 'go', 'live', 'know', 'study', 'safety']"
146,pet owner,to be able to check in with my pets via video and voice,I can rest assured that they are okay throughout the day,Safety,3.6667,to be able to check in with my pets via video and voice i can rest assured that they are okay throughout the day safety,"['able', 'check', 'pet', 'video', 'voice', 'rest', 'assure', 'okay', 'day', 'safety']"
147,home owner,smart locks,small children cannot get into cabinets,Safety,2.6667,smart locks small children cannot get into cabinets safety,"['lock', 'small', 'child', 'get', 'cabinet', 'safety']"
136,home occupant,to be able to monitor carbon monoxide levels,it is safe inside the house,Safety,3.0,to be able to monitor carbon monoxide levels it is safe inside the house safety,"['able', 'monitor', 'carbon', 'monoxide', 'level', 'safe', 'safety']"
145,home occupant,face recognizing software,the house would unlock when they see you,Safety,4.5,face recognizing software the house would unlock when they see you safety,"['face', 'recognize', 'software', 'unlock', 'see', 'safety']"
147,cook,LED touchscreen displays,cooking can be optimized.,Other,3.5,led touchscreen displays cooking can be optimized. other,"['lead', 'touchscreen', 'display', 'cooking', 'optimize']"
146,home occupant,"lights that automatically dim and shut off, after there is no movement in the room for a period of time",I can conserve energy,Energy,4.0,"lights that automatically dim and shut off, after there is no movement in the room for a period of time i can conserve energy energy","['light', 'dim', 'shut', 'movement', 'room', 'period', 'time', 'conserve', 'energy', 'energy']"
136,home occupant,to play my favorite music wirelessly ,I can enjoy without having to move,Entertainment,3.0,to play my favorite music wirelessly  i can enjoy without having to move entertainment,"['play', 'favorite', 'music', 'wirelessly', 'enjoy', 'move', 'entertainment']"
141,home owner,my daily purchase of home needs monitored and done automatically with the help of mobile application ,i can save time,Energy,3.0,my daily purchase of home needs monitored and done automatically with the help of mobile application  i can save time energy,"['daily', 'purchase', 'need', 'monitor', 'do', 'help', 'mobile', 'application', 'save', 'time', 'energy']"
144,parent,"the chore board to be manageable by my smartphone, to send notifications to my children, and to lock them out from certain activities on their smartphones before the chores have been completed and verified by me",the kids do their chores,Other,4.0,"the chore board to be manageable by my smartphone, to send notifications to my children, and to lock them out from certain activities on their smartphones before the chores have been completed and verified by me the kids do their chores other","['chore', 'board', 'manageable', 'smartphone', 'send', 'notification', 'child', 'lock', 'certain', 'activity', 'smartphones', 'chore', 'complete', 'verify', 'kid', 'chore']"
145,home occupant,house cookerchef,the house could make your own food for you. ,Other,3.0,house cookerchef the house could make your own food for you.  other,"['cookerchef', 'make', 'food']"
147,home owner,gourmet recipe banks in the ovens,i never go hungry,Other,2.0,gourmet recipe banks in the ovens i never go hungry other,"['gourmet', 'recipe', 'bank', 'oven', 'never', 'go', 'hungry']"
146,home occupant,my smart home to alert my family when there is bad weather approaching,they can take the necessary steps to stay safe,Safety,2.6667,my smart home to alert my family when there is bad weather approaching they can take the necessary steps to stay safe safety,"['alert', 'family', 'bad', 'weather', 'approach', 'take', 'necessary', 'step', 'stay', 'safe', 'safety']"
136,home occupant,to listen to the latest NFL scores,I am up to date. ,Entertainment,2.0,to listen to the latest nfl scores i am up to date.  entertainment,"['listen', 'late', 'nfl', 'score', 'date', 'entertainment']"
147,home owner,a thermostat that can be controlled from my smartphone,im never cold or hot,Energy,2.0,a thermostat that can be controlled from my smartphone im never cold or hot energy,"['thermostat', 'control', 'smartphone', 'im', 'never', 'cold', 'hot', 'energy']"
145,home occupant,voice recognition software,so only I could ask for demands from the house ,Safety,3.0,voice recognition software so only i could ask for demands from the house  safety,"['voice', 'recognition', 'software', 'ask', 'demand', 'safety']"
147,home owner,optimized lighting system,people think we are home,Safety,2.0,optimized lighting system people think we are home safety,"['optimize', 'light', 'system', 'people', 'think', 'safety']"
145,home occupant,Handprint recognition on the front door,I wouldnt need keys in case the face recognition isnt working right,Safety,3.0,handprint recognition on the front door i wouldnt need keys in case the face recognition isnt working right safety,"['handprint', 'recognition', 'front', 'door', 'wouldnt', 'need', 'key', 'case', 'face', 'recognition', 'isnt', 'work', 'right', 'safety']"
147,home owner,light bulbs that double down as speakers,i can listen to music in cool places,Entertainment,3.0,light bulbs that double down as speakers i can listen to music in cool places entertainment,"['light', 'bulb', 'double', 'speaker', 'listen', 'music', 'cool', 'place', 'entertainment']"
147,home owner,fridge with a built in cooling system,food stays fresh longer,Health,1.6667,fridge with a built in cooling system food stays fresh longer health,"['fridge', 'built', 'cool', 'system', 'food', 'stay', 'fresh', 'longer', 'health']"
145,home occupant,a feature in the fridge that states when we are running low on items,i would know when to buy more,Energy,4.0,a feature in the fridge that states when we are running low on items i would know when to buy more energy,"['feature', 'fridge', 'state', 'run', 'low', 'item', 'know', 'buy', 'energy']"
147,home owner,an alarm system that i can monitor anywhere,i can make sure everyone is safe,Safety,1.6667,an alarm system that i can monitor anywhere i can make sure everyone is safe safety,"['alarm', 'system', 'monitor', 'anywhere', 'make', 'sure', 'everyone', 'safe', 'safety']"
144,home occupant,"my walls to display concert footage, automatically adjust acoustics of the room for optimal sound, and display light effects",I can attend simulated concerts at home,Entertainment,3.3333,"my walls to display concert footage, automatically adjust acoustics of the room for optimal sound, and display light effects i can attend simulated concerts at home entertainment","['wall', 'display', 'concert', 'footage', 'adjust', 'acoustic', 'room', 'optimal', 'sound', 'display', 'light', 'effect', 'attend', 'simulated', 'concert', 'entertainment']"
141,home owner,to know the weather condition automatically to my mobile ,i can know how should i travel to my office ,Safety,1.5,to know the weather condition automatically to my mobile  i can know how should i travel to my office  safety,"['know', 'weather', 'condition', 'mobile', 'know', 'travel', 'office', 'safety']"
147,home owner,motion sensors,i can track movement,Other,1.3333,motion sensors i can track movement other,"['motion', 'sensor', 'track', 'movement']"
144,home occupant,"a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online",I know what to wear every day,Other,3.3333,"a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online i know what to wear every day other","['virtual', 'inventory', 'closet', 'daily', 'suggestion', 'outfit', 'paid', 'fashionistas', 'online', 'know', 'wear', 'day']"
141,home owner,store and control rain water and water all my plants with the help of technology ,i save water and plants,Energy,3.4,store and control rain water and water all my plants with the help of technology  i save water and plants energy,"['store', 'control', 'rain', 'water', 'water', 'plant', 'help', 'technology', 'save', 'water', 'plant', 'energy']"
146,home occupant,a feature for dimmed lighting and soft music,I can relax and enjoy my downtime without much effort,Entertainment,3.6667,a feature for dimmed lighting and soft music i can relax and enjoy my downtime without much effort entertainment,"['feature', 'dim', 'light', 'soft', 'music', 'relax', 'enjoy', 'downtime', 'much', 'effort', 'entertainment']"
144,parent,"monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs",I know my children are safe and behaving,Other,2.5,"monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs i know my children are safe and behaving other","['monitoring', 'software', 'detects', 'nudity', 'drug', 'use', 'foul', 'language', 'sends', 'live', 'footage', 'occurs', 'know', 'child', 'safe', 'behaving']"
146,home occupant,"televisions that are made into the house, without cords showing",there is less mess and less danger for children,Safety,3.2,"televisions that are made into the house, without cords showing there is less mess and less danger for children safety","['television', 'make', 'cord', 'show', 'less', 'mess', 'less', 'danger', 'child', 'safety']"
146,home occupant,"a built in ""SIRI"" like assistant","i can easily organize all events, without having to keep up with a planner, and ask random questions to",Entertainment,4.0,"a built in ""siri"" like assistant i can easily organize all events, without having to keep up with a planner, and ask random questions to entertainment","['built', 'siri', 'assistant', 'easily', 'organize', 'event', 'keep', 'planner', 'ask', 'random', 'question', 'entertainment']"
146,home occupant,"to be able to lock and unlock my doors from any location, from my phone","i can easily let neighbors in if necessary, or the kids if they've forgotten their key without having to worry about someone finding a hidden spare",Safety,4.0,"to be able to lock and unlock my doors from any location, from my phone i can easily let neighbors in if necessary, or the kids if they've forgotten their key without having to worry about someone finding a hidden spare safety","['able', 'lock', 'unlock', 'door', 'location', 'phone', 'easily', 'let', 'neighbor', 'necessary', 'kid', ""'ve"", 'forgotten', 'key', 'someone', 'find', 'hidden', 'spare', 'safety']"
139,pet owner,my pet's food and water automatically refilled while I'm away,I can travel without worrying that my pets are fed or thirsty,Health,3.6667,my pet's food and water automatically refilled while i'm away i can travel without worrying that my pets are fed or thirsty health,"['pet', 'food', 'water', 'refill', ""'m"", 'away', 'travel', 'worry', 'pet', 'fed', 'thirsty', 'health']"
150,home occupant,My smart home to set reminders to start laundry and alerts when laundry is done.,I do not forget to do the laundry in order to have fresh clothes.,Energy,4.0,my smart home to set reminders to start laundry and alerts when laundry is done. i do not forget to do the laundry in order to have fresh clothes. energy,"['set', 'reminder', 'start', 'laundry', 'alert', 'laundry', 'do', 'forget', 'laundry', 'order', 'fresh', 'clothes', 'energy']"
139,parent,videos that monitor the inside of my home,I can view my teenage child's activities while I'm away on vacation or on business,Safety,3.0,videos that monitor the inside of my home i can view my teenage child's activities while i'm away on vacation or on business safety,"['video', 'monitor', 'inside', 'view', 'teenage', 'child', 'activity', ""'m"", 'away', 'vacation', 'business', 'safety']"
150,home occupant,To be Alerted with a sound when the garage is opened.,I can know who is going in and out of the garage.,Safety,3.3333,to be alerted with a sound when the garage is opened. i can know who is going in and out of the garage. safety,"['alert', 'sound', 'garage', 'open', 'know', 'go', 'garage', 'safety']"
139,home owner,my refrigerator and freezer temperature monitored,"I don't have to worry about food contamination, spoilage or inadequate food storage",Health,3.3333,"my refrigerator and freezer temperature monitored i don't have to worry about food contamination, spoilage or inadequate food storage health","['refrigerator', 'freezer', 'temperature', 'monitor', 'food', 'contamination', 'spoilage', 'inadequate', 'food', 'storage', 'health']"
150,pet owner,to be alerted when pets leave the home throught the doggy door,I can know what my pets are up to. ,Safety,3.5,to be alerted when pets leave the home throught the doggy door i can know what my pets are up to.  safety,"['alert', 'pet', 'leave', 'throught', 'doggy', 'door', 'know', 'pet', 'safety']"
139,home owner,to be alerted when the doors leading into my home are opened while I'm away,I wouldn't have to worry about intruders when I travel and am away from my home,Safety,4.3333,to be alerted when the doors leading into my home are opened while i'm away i wouldn't have to worry about intruders when i travel and am away from my home safety,"['alert', 'door', 'lead', 'open', ""'m"", 'away', 'worry', 'intruder', 'travel', 'away', 'safety']"
151,home owner,my smart home to notify me if the household's carbon footprint is getting too high, we can be more environmentally responsible,Energy,2.3333,my smart home to notify me if the household's carbon footprint is getting too high  we can be more environmentally responsible energy,"['household', 'carbon', 'footprint', 'get', 'high', 'environmentally', 'responsible', 'energy']"
151,pet owner, my smart home to automatically refill the pet's water and food bowl through an automated system,I know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them..,Health,4.0, my smart home to automatically refill the pet's water and food bowl through an automated system i know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them.. health,"['refill', 'pet', 'water', 'food', 'bowl', 'automate', 'system', 'know', 'pet', 'take', 'care', 'event', 'someone', 'forgotten', 'feed', 'them..', 'health']"
139,home occupant,the temperature automatically adjusted inside my home when there are external changes in temperature to compensate,I can be comfortable without having to adjust temperatures manually,Other,2.6667,the temperature automatically adjusted inside my home when there are external changes in temperature to compensate i can be comfortable without having to adjust temperatures manually other,"['temperature', 'adjust', 'external', 'change', 'temperature', 'compensate', 'comfortable', 'adjust', 'temperature', 'manually']"
150,home occupant,my smart home to shut off lights when I leave the room,I can save on my energy bill.,Energy,3.0,my smart home to shut off lights when i leave the room i can save on my energy bill. energy,"['shut', 'light', 'leave', 'room', 'save', 'energy', 'bill', 'energy']"
151,"a command kitchen that controls appliances by voice,", I can remote activate anything even not in the kitchen,Energy,Energy,4.0, i can remote activate anything even not in the kitchen energy energy,"['remote', 'activate', 'anything', 'even', 'kitchen', 'energy', 'energy']"
139,parent,the door to record the time of day or night it is opened,I can know what time my teenager comes home without having to stay up for him or her,Other,4.6667,the door to record the time of day or night it is opened i can know what time my teenager comes home without having to stay up for him or her other,"['door', 'record', 'time', 'day', 'night', 'open', 'know', 'time', 'teenager', 'come', 'stay']"
150,environmentalist,my smart home to control water intake by alerting me when I go above my set use.,I can save on the water bill and help the environment. ,Energy,3.5,my smart home to control water intake by alerting me when i go above my set use. i can save on the water bill and help the environment.  energy,"['control', 'water', 'intake', 'alert', 'go', 'set', 'use', 'save', 'water', 'bill', 'help', 'environment', 'energy']"
151,home owner, The oven to talk with basic information,Cooking can be done properly.,Safety,3.6667, the oven to talk with basic information cooking can be done properly. safety,"['oven', 'talk', 'basic', 'information', 'cooking', 'do', 'properly', 'safety']"
152,home occupant,air purity controller,it detects pollution and sensors get active,Health,3.0,air purity controller it detects pollution and sensors get active health,"['air', 'purity', 'controller', 'detects', 'pollution', 'sensor', 'get', 'active', 'health']"
150,parent,to know when my kids come home by alerting me.,I know where my kids are.,Safety,2.3333,to know when my kids come home by alerting me. i know where my kids are. safety,"['know', 'kid', 'come', 'alert', 'know', 'kid', 'safety']"
139,person with back problems,"to be able to voice activate lights, television, radio in my home",I don't have to get up when I am in pain,Health,4.0,"to be able to voice activate lights, television, radio in my home i don't have to get up when i am in pain health","['able', 'voice', 'activate', 'light', 'television', 'radio', 'get', 'pain', 'health']"
151,home owner," Room thermostat sensor,",The room is optimal temperature for an occupant .,Energy,2.6667," room thermostat sensor, the room is optimal temperature for an occupant . energy","['room', 'thermostat', 'sensor', 'room', 'optimal', 'temperature', 'occupant', 'energy']"
150,home occupant,my smart home to automatically turn on the sprinklers and water the lawn in conjuction with my mobile devices,I can set timers from anywhere and take care of my garden,Energy,3.3333,my smart home to automatically turn on the sprinklers and water the lawn in conjuction with my mobile devices i can set timers from anywhere and take care of my garden energy,"['turn', 'sprinkler', 'water', 'lawn', 'conjuction', 'mobile', 'device', 'set', 'timer', 'anywhere', 'take', 'care', 'garden', 'energy']"
151,home occupant,"my smart phone to come with an app that whenever someone rings the doorbell, I can see on my phone, tablet, computer a picture/video of who it is from anywhere in the house,", we can know who is at the door more securely and be ahead of any possible problems,Safety,3.5,"my smart phone to come with an app that whenever someone rings the doorbell, i can see on my phone, tablet, computer a picture/video of who it is from anywhere in the house,  we can know who is at the door more securely and be ahead of any possible problems safety","['phone', 'come', 'app', 'whenever', 'someone', 'ring', 'doorbell', 'see', 'phone', 'tablet', 'computer', 'picture/video', 'anywhere', 'know', 'door', 'securely', 'ahead', 'possible', 'problem', 'safety']"
151,home occupant,"My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,",home and/or vehicle-related thefts can be minimized either when we are home or are not.,Safety,3.0,"my smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway, home and/or vehicle-related thefts can be minimized either when we are home or are not. safety","['capture', 'picture', 'alert', 'specific', 'sound', 'text', 'message', 'mobile', 'phone', 'vehicle', 'enters', 'driveway', 'and/or', 'vehicle-related', 'theft', 'minimize', 'either', 'safety']"
150,home owner,to have logs of when someone steps onto my property via sensors.,I know if someone is coming and going.,Safety,4.0,to have logs of when someone steps onto my property via sensors. i know if someone is coming and going. safety,"['log', 'someone', 'step', 'property', 'sensor', 'know', 'someone', 'come', 'go', 'safety']"
139,home occupant,the temperature in my home to be monitored inside and outside the home and compare it to temperature settings,I can monitor any deficiencies in insulation in my home and rectify them,Energy,3.5,the temperature in my home to be monitored inside and outside the home and compare it to temperature settings i can monitor any deficiencies in insulation in my home and rectify them energy,"['temperature', 'monitor', 'compare', 'temperature', 'setting', 'monitor', 'deficiency', 'insulation', 'rectify', 'energy']"
151,home owner,Retina scan for front door, Nobody else can get in.,Safety,2.5,retina scan for front door  nobody else can get in. safety,"['retina', 'scan', 'front', 'door', 'nobody', 'else', 'get', 'safety']"
150,media watcher,my smart home to make reccomendations of the up to date (new) movies that I may enjoy and remind me of shows I have recorded on my dvr.,I can keep up to date on my media.,Entertainment,2.6667,my smart home to make reccomendations of the up to date (new) movies that i may enjoy and remind me of shows i have recorded on my dvr. i can keep up to date on my media. entertainment,"['make', 'reccomendations', 'date', 'new', 'movie', 'enjoy', 'remind', 'show', 'record', 'dvr', 'keep', 'date', 'medium', 'entertainment']"
139,tv viewer,to lower and raise the volume on my TV verbally from any room in the house,I can save time and physical energy,Entertainment,2.0,to lower and raise the volume on my tv verbally from any room in the house i can save time and physical energy entertainment,"['low', 'raise', 'volume', 'tv', 'verbally', 'room', 'save', 'time', 'physical', 'energy', 'entertainment']"
150,home occupant,my smart home to alert me when it is time for a meal.,I can keep up with a consisting meal schedule.,Health,4.0,my smart home to alert me when it is time for a meal. i can keep up with a consisting meal schedule. health,"['alert', 'time', 'meal', 'keep', 'consist', 'meal', 'schedule', 'health']"
151,home owner," my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day,", I do not have to manually adjust these items each evening,Other,3.0," my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day,  i do not have to manually adjust these items each evening other","['close', 'open', 'pre-specified', 'window', 'shade', 'turn', 'specific', 'light', 'night', 'day', 'manually', 'adjust', 'item', 'even']"
152,home occupant,my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not,Safety,4.5,my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door parcel package-related thefts can be minimized either when we are home or are not safety,"['alert', 'specific', 'sound', 'text', 'message', 'mobile', 'phone', 'personal', 'parcel', 'package', 'deliver', 'door', 'parcel', 'package-related', 'theft', 'minimize', 'either', 'safety']"
152,home occupant,Room thermostats,Protect the room temperature,Energy,3.3333,room thermostats protect the room temperature energy,"['room', 'thermostat', 'protect', 'room', 'temperature', 'energy']"
152,home occupant,regulate my bore well motor,Monitor the start and stop the motor running automatically,Safety,4.0,regulate my bore well motor monitor the start and stop the motor running automatically safety,"['regulate', 'bore', 'well', 'motor', 'monitor', 'start', 'stop', 'motor', 'run', 'safety']"
152,home occupant,Smoke identifier ,save the unwanted fire .,Safety,2.0,smoke identifier  save the unwanted fire . safety,"['smoke', 'identifier', 'save', 'unwanted', 'fire', 'safety']"
152,home occupant,floor heating controller,Maintain the floor temperature and good for human life,Health,4.0,floor heating controller maintain the floor temperature and good for human life health,"['floor', 'heating', 'controller', 'maintain', 'floor', 'temperature', 'good', 'human', 'life', 'health']"
152,home occupant,Switch on all electric goods during enter the room,Automatic all electric equipments,Entertainment,2.3333,switch on all electric goods during enter the room automatic all electric equipments entertainment,"['switch', 'electric', 'good', 'enter', 'room', 'electric', 'equipment', 'entertainment']"
152,home occupant,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each ",easy open and close,Safety,3.5,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each  easy open and close safety","['close', 'open', 'pre-specified', 'window', 'shade', 'turn', 'specific', 'light', 'easy', 'open', 'close', 'safety']"
152,home occupant,Automatic fan regulation,when enter the room and sit down more than 5 min,Health,4.0,automatic fan regulation when enter the room and sit down more than 5 min health,"['fan', 'regulation', 'enter', 'room', 'sit', 'min', 'health']"
152,home occupant,wall mount transmitter,Automatic  regulate the transmitter,Entertainment,2.3333,wall mount transmitter automatic  regulate the transmitter entertainment,"['wall', 'mount', 'transmitter', 'regulate', 'transmitter', 'entertainment']"
154,a teacher,daily syllabus to be studied with systematic alerts,easy to teach the students,Other,3.6667,daily syllabus to be studied with systematic alerts easy to teach the students other,"['daily', 'syllabus', 'study', 'systematic', 'alert', 'easy', 'teach', 'student']"
154,energy saver,it to check each room and turn off lights if a person is not in the room,save the electricity,Energy,2.0,it to check each room and turn off lights if a person is not in the room save the electricity energy,"['check', 'room', 'turn', 'light', 'person', 'room', 'save', 'electricity', 'energy']"
154,a farmer,to regulate the motor ,it is very useful for save the water and electricity,Energy,1.0,to regulate the motor  it is very useful for save the water and electricity energy,"['regulate', 'motor', 'useful', 'save', 'water', 'electricity', 'energy']"
154,home maker,To stop the burner,complete the cook then stop the burner automatically,Energy,2.6667,to stop the burner complete the cook then stop the burner automatically energy,"['stop', 'burner', 'complete', 'cook', 'stop', 'burner', 'energy']"
154,health monitor,increase the heart beat,to ensure the health fitness,Health,2.5,increase the heart beat to ensure the health fitness health,"['increase', 'heart', 'beat', 'ensure', 'health', 'fitness', 'health']"
154,pressure patient,to regulate the pressure,easy to maintain the health problem,Health,2.5,to regulate the pressure easy to maintain the health problem health,"['regulate', 'pressure', 'easy', 'maintain', 'health', 'problem', 'health']"
154,a farmer,to know the weather,when the rain come and light is high,Safety,1.5,to know the weather when the rain come and light is high safety,"['know', 'weather', 'rain', 'come', 'light', 'high', 'safety']"
