rid,uid,role,feature,benefit,novelty_avg
755,126,host,my smart home to keep track of my guests favorite foods,I can be a better host by offering these foods again or similar ones,Entertainment,4.0000
756,128,renter,my smart home to monitor my utility usage and costs.,That I can stay on budget for the month.,Energy,4.5000
757,128,person who cooks.,my smart home to notify me immediately if I leave the house without turning off the oven or leave food in too long.,I can stay safe and not waste money on burnt food.,Safety,4.0000
758,128,person who invites people over.,my smart home to have voice recognition features that allow me to voice active TVs and music.,I can entertain my guests more easily.,Entertainment,3.0000
759,128,pet owner,a smart home that notifies me if my pet sneaks out of the house.,so that I can make sure they don't wander away and get lost.,Safety,3.6667
760,128,pet owner,my smart home to notify me when food and water levels in my pets dishes are low.,I can track how much my pets are eating and always make sure I don't leave them without food.,Health,4.0000
761,128,home owner,I want lights to come on automatically when I am in my backyard or on my deck.,I can more easily enjoy these features of my home.,Other,2.3333
762,128,person concerned about the environment.,my smart home to track my energy usage by the specific environmental impact my different utilities have.,I can more efficiently conserve my energy usage in the most beneficial way.,Energy,4.3333
763,128,person with allergies.,my smart home to track different allergens in the air including part hair and dust particles.,I can know better when I need to be mare careful about my allergies and those of my guests.,Health,4.3333
765,128,person with roommates.,my smart home to track how much in utilities each occupant uses.,we can know how to divide costs of utilities more fairly. ,Energy,4.6667
766,129,runner obsessed with nutrition,"my kitchen table to tell what to cook for dinner based on my running schedule and what I have on the fridge, and then show me how to cook it","I can save time from going through my fridge and trawling the internet for recipes, thus saving me time.",Health,3.7500
767,129,home occupant,my plants to tell me if they need watering,I will water them,Health,3.0000
768,129,home occupant,my thermostat to detect my body temperature and location in the room,it will heat or cool the room where I am and not the entire house,Energy,4.5000
769,129,home occupant,my bed to detect my sleep patterns,so that it knows when to wake me up based on the quality of my sleep,Health,4.3333
770,129,parent,my family portraits in the living room to be interactive,so that they tell me whether my kids have safely arrived at school or somewhere they should be,Safety,3.6667
771,129,stock investor,an orb lamp that glows the daily ups and downs of my portfolio,"so that I can know in simplest visual terms the swings in my stocks, should I want to",Entertainment,4.6667
772,130,grandmother who takes care of a 12-year old grandson,my smart home to notify me via my smart phone and shows me his picture when he opens the front door,I know that he gets home safely from school.,Safety,3.0000
773,129,tv viewer,"my tv to determine my mood based on my emails, text, social media postings and phone calls, and day of the month and other factors",so that it can recommend a mood-appropriate show for me,Entertainment,4.6667
774,130,home occupant,my pet feeder to let me know when the container is empty,I can refill.,Health,3.0000
775,129,home occupant,"my entire house to detect subtle hints of psychological abnormalities, whether depression or unknown genetic defects, that get express through small but still perceptible physical irregular movements",my primary care physician is alerted very early,Health,4.0000
776,130,home occupant,a smart home to send me a text via my smart phone when it is time to change ac and heater's filters,I can change them on a timely manner.,Other,4.3333
777,129,home occupant,my house to archive where everything is located,so that it knows everything and tells me immediately when I want to know where I'd put my keys or a vacation polaroid I took in 1987 but last seen in 2005,Entertainment,5.0000
778,130,home occupant,my bread machine to start automatically and be ready in the morning,I can have bread for breakfast,Other,2.0000
779,131,home owner,my thermostat to set itself to my ideal temperature when it detects my present,"I can relax knowing the thermostat is not too high or low, and just right for my comfort.",Energy,2.0000
780,130,homemaker,my robotic vacuum cleaner to start automatically twice a week,my house is not dusty,Other,4.0000
781,129,home occupant,my windows to detect sound waves,so that it will cancel them out with sound waves created by deforming itself,Energy,4.3333
782,131,occupant,"all devices in my office, that I need for work, to turn on at a specific time",I don't need to go through the process of turning everything on and off when I need to work.,Energy,3.6667
783,130,homemaker,my swimming pool to clean itself on a periodic basis,it is always clean,Health,2.3333
784,131,home owner,"my lights and tvs to turn on automatically when I am not home, and it detects an intruder","the intruder will think that there is someone home, and it's not safe to break into my home.",Safety,4.0000
785,131,husband,"my bathtub to automatically fill, and set itself to hot temperature and add a bubble bath solution at the push of a button.","when i am being romantic with my wife, we can head to the tub, without the need for interruption.",Entertainment,4.3333
786,130,home occupant,a voice activated warning when the energy cost is more than certain amount,I can tell everyone to be careful with their use of energy,Energy,3.6667
787,131,home owner,"A lawn mower device to automatically cut my grass when it detects it is above a certain height, similar to a roomba vacuum robot.","I can relax and focus on the things that are important, like cooking and eating with my family.",Energy,4.0000
788,130,driver,my smart home to tell me when my car needs gasoline,I will not run out of gasoline,Other,3.5000
789,131,home owner,"an automated cleaning device to get my pool ready when it detects the temperature outside is becoming warm, and automatically test the Ph of the water and apply the necessary chemicals.","When I come home from work, I can hop into the pool with my family without having to spend hours cleaning it before hand.",Energy,4.3333
790,130,home occupant,my smart home to inform me when my favorite ice cream is almost gone,I buy more ice cream,Other,3.3333
791,131,home owner,a refrigerator and freezer that automatically lets me know when food is about to expire and provides me recipes based on what I have in the fridge and freezer.,"I don't have to struggle trying to think about something I can make for dinner that is on hand, and worry about not having a certain ingredient.",Health,4.0000
792,131,cook,"a pantry and cabinets that keep track of my current stock of food, and let me know when I am running low and possibly even order some automatically through a service like amazon for me when I run out.","I will always have the necessary pantry items for breakfast, lunch, and dinner, and have less to worry about when I head to the grocery store for fresh items.",Health,4.6667
793,131,occupant,"a coffee machine that automatically knows how many people are in my house, and prepare the proper portion of coffee for those people",there is enough coffee for everyone right when we wake up in the morning.,Health,4.6667
795,131,occupant,"An all in one device that is capable of washing, drying, and folding my clothes","I can worry about spending more time with my family, and having to worry about more things to do when I get home from work.",Energy,4.6667
796,132,parent,My home to be able to monitor time spent per room in my home,I can better monitor my family and their activity habits so that I can form a more cohesive family.,Entertainment,3.0000
797,132,home owner,To be alerted when certain groceries are used,I can automate my shopping list,Health,3.7500
798,132,home owner,My home to alert me to possible damage,I can keep up to date on repairs,Safety,4.0000
799,132,home owner,To be able to access my home from away from home,I can keep tabs on what is happening,Safety,2.6667
800,132,home owner,My home to alert me to changing environmental issues,I can keep my family safe,Safety,3.6667
801,132,parent,My home to alert me to dangerous situations in my surrounding area,I can keep my family safe.,Safety,1.6667
802,132,pet owner,My home to start the self cleaning litter box for me,I don't have to keep tabs on my cat,Health,5.0000
803,132,cook,My kitchen to alert me when I leave an appliance on that shouldn't be,I can keep my home safe.,Safety,3.5000
804,132,home owner,My home to alert me to my favorite shows and DVR them for me when I am not home,I don't miss an episode,Entertainment,3.3333
805,132,home owner,My home to monitor my energy usage,I can better use my energy.,Energy,3.0000
806,133,dog owner,the ability to monitor my dog's water bowl,I know when it should be filled,Health,2.2500
807,133,flower enthusiast,to have my plants watered regularly,they live for their maximum lifetime,Entertainment,2.6667
808,133,home owner,lights to automatically turn off when I'm not present,I conserve energy efficiently,Energy,2.5000
809,133,sports enthusiast,my television to turn on when my favorite sports team plays,I can watch them immediately when they start,Entertainment,4.6667
810,133,mother,to be alerted when my child starts crying,I can take care of my child more quickly,Safety,1.7500
811,133,clean freak,doors to shut automatically if I leave them open unattended,I can feel better about the cleanliness of my house,Health,3.0000
812,133,early riser,coffee to be made every morning at 7 AM,I can leave on time,Health,2.0000
813,133,home owner,my gutters to clean themselves when full,our gutters can be clean more,Health,4.0000
814,133,home owner,my external doors to automatically lock after 30 seconds,I can feel safe in my home,Safety,2.6667
815,133,cook,my oven to clean itself periodically,I can use it more frequently,Energy,3.3333
817,135,artist,to be able to play around on softwares between screens around my house,I can work more efficiently,Entertainment,3.5000
818,135,cook,devices to help me prepare food quickly,i can save prep time,Other,5.0000
819,135,cat owner,a self cleaning litterbox,i don't have to clean it every day,Other,3.3333
821,135,home owner,music that moves with me into the next room,i can enjoy music and still hear it well no matter what i am walking around doing,Entertainment,3.3333
822,136,home occupant,to be able to turn off my stoves ,just in case I forgot to turn it off when I left home,Safety,4.5000
824,135,home owner,a way to switch what i'm watching on one screen to move to another room,i can pick up where i left off on a movie/etc on another device,Entertainment,3.5000
826,141,parent,my kids activities to be monitor with the help of technology ,I can find out his what is wrong with his habits ,Health,3.0000
828,142,home occupant,my pool pump to automatically turn on for a set amount of time that I set,my pool stays clean and I don't waste energy by having the pump on for to long.,Other,3.6667
829,135,home owner,a digital way to view my wardrobe and select pieces to make an outfit and have them brought to me,i can pick an outfit more efficently without trying things on endlessly,Other,5.0000
830,141,home owner,I want My bore well to indicate the water ground  level so that it can pump the water automatically when it is required ,water saving ,Energy,3.6667
832,136,home occupant,to open my garage door ,I can save on time and energy,Other,2.0000
833,142,home occupant,my tv to turn on when my selected show are on,I won't miss my favorite shows,Entertainment,4.0000
836,144,home occupant,"my walls to take the design, color, or pattern of my choosing at any time, selected from my smartphone.",I can easily customize my home.,Other,4.6667
837,141,home owner,to check the purity and quality of my water i use for drinking ,there wont be any health problems,Health,3.3333
838,135,home owner,lights and electronics that sense when i've fallen asleep and adjust automatically,i can save energy,Energy,4.0000
839,142,home occupant,my coffee machine to turn on at 6:45 am,my coffee is ready when I get out of bed.,Health,1.6667
840,142,home occupant,an alert to my phone when a package is left on my doorstep,I know to pick it up and will know if it goes missing.,Other,4.0000
841,136,home occupant,to have wifi coffee machines,I can easily brew coffee with an app,Other,4.0000
842,135,home owner,doors that open via sensor if my hands are full,i can carry large loads to other rooms more efficiently,Safety,4.6667
844,142,home occupant,my driveway lights to be turned on when sun goes down,when I get home it is safe pulling into my driveway.,Safety,3.0000
845,135,home owner,a device that can mix cocktails and allows me to choose what i want made,i can entertain better,Entertainment,3.3333
846,141,home owner,my electricity should be monitored with the help of daily report to my mobile automatically ,i can save energy ,Energy,3.5000
847,144,cook,"weekly meal plans to be automatically generated based on my nutritional needs and preferences (as well as those for my family,) and for a shopping list to be generated to obtain needed items",I can always know the best meals to prepare for myself and my family.,Health,3.8333
849,142,home occupant,an alert when my dog is standing by back door,I know that I need to let them out.,Other,4.3333
850,136,home occupant,to control temperature and spray of my shower,so that I can save on energy costs.,Energy,2.5000
851,145,home occupant,A big tv in the attic that can move into whatever room I'm in,I could watch tv at any room ,Entertainment,1.0000
852,144,home occupant,"an inventory to be taken of my groceries and personal items, and a shopping list to be automatically sent to my smartphone.","I always have the items I need, and know when I am running out.",Other,3.5000
853,142,home owner,my smart home to notify me whenver water is leaking from a faucet,I don't waste water and get a big bill.,Energy,2.0000
854,141,pet owner,to monitor my pets health problem automatically with detecting device  ,i can save my pets life,Safety,4.0000
855,142,home occupant,my heated floors to turn on at 6:45 am ,they are heated once I get out of my morning shower.,Other,2.6667
856,136,home occupant,to be able to control the brightness of my rooms and turn off automatically when I leave the room,I can save on energy costs,Energy,4.0000
857,145,home occupant,a machine operated bed ,I could move around while in bed,Other,4.0000
858,142,home occupant,to be alerted when someone enters my property,I can be aware of someone approaching.,Safety,4.0000
859,144,home occupant,"my mail to be automatically taken into the house, and sorted by relevance and type",I can ignore junk mail,Other,3.0000
860,142,home owner,to be alerted when my energy usage appropaches an amount I set for the month,I can lower my bill.,Energy,4.5000
861,141,parent,my kids internet and home works should be monitored with the help of my mobile phones,i can control them from work,Entertainment,3.5000
862,145,home occupant,A device to wash stove and tables,I wouldnt have to wash,Energy,3.6000
863,144,home occupant,surfaces to automatically detect and report sanitation levels in real time,I know what I really need to clean and when,Health,3.0000
864,146,home occupant,my smart home's showers to automatically adjust to my desired water temperature,I'm not wasting water or time trying to find it,Entertainment,4.0000
865,144,home occupant,"a television playlist to automatically be generated from my streaming services, based on likes and recommendations","view a sequence of shows I enjoy, and will enjoy, without lifting a finger",Entertainment,2.6667
866,145,home occupant,projected figure to assist me with a click of a remote,i could get any help i need in any room,Other,4.0000
867,146,home occupant,"a feature to locate commonly misplaced items, phones, glasses, wallets, keys",I can easily locate them,Entertainment,5.0000
868,145,home occupant,solar windows,I could save energy,Energy,2.5000
869,136,parents,to have high resolution and night vision camera for my baby,I know the second my baby is up and moving,Safety,2.3333
870,147,occupant,an oven that automatically sets the temperature and cooking time,cooking can be optimized.,Other,2.3333
871,146,daughter,my smart home to have a phrase that my mother can say if she ever needs help,She can easily get assistance if she has a medical emergency,Health,2.6667
872,141,parent,to know how my kids are in their schools and how their classes are going on live,i know how they study ,Safety,2.3333
873,146,pet owner,to be able to check in with my pets via video and voice,I can rest assured that they are okay throughout the day,Safety,3.6667
874,147,home owner,smart locks,small children cannot get into cabinets,Safety,2.6667
875,136,home occupant,to be able to monitor carbon monoxide levels,it is safe inside the house,Safety,3.0000
876,145,home occupant,face recognizing software,the house would unlock when they see you,Safety,4.5000
877,147,cook,LED touchscreen displays,cooking can be optimized.,Other,3.5000
878,146,home occupant,"lights that automatically dim and shut off, after there is no movement in the room for a period of time",I can conserve energy,Energy,4.0000
879,136,home occupant,to play my favorite music wirelessly ,I can enjoy without having to move,Entertainment,3.0000
880,141,home owner,my daily purchase of home needs monitored and done automatically with the help of mobile application ,i can save time,Energy,3.0000
881,144,parent,"the chore board to be manageable by my smartphone, to send notifications to my children, and to lock them out from certain activities on their smartphones before the chores have been completed and verified by me",the kids do their chores,Other,4.0000
882,145,home occupant,house cookerchef,the house could make your own food for you. ,Other,3.0000
883,147,home owner,gourmet recipe banks in the ovens,i never go hungry,Other,2.0000
884,146,home occupant,my smart home to alert my family when there is bad weather approaching,they can take the necessary steps to stay safe,Safety,2.6667
885,136,home occupant,to listen to the latest NFL scores,I am up to date. ,Entertainment,2.0000
886,147,home owner,a thermostat that can be controlled from my smartphone,im never cold or hot,Energy,2.0000
887,145,home occupant,voice recognition software,so only I could ask for demands from the house ,Safety,3.0000
888,147,home owner,optimized lighting system,people think we are home,Safety,2.0000
889,145,home occupant,Handprint recognition on the front door,I wouldnt need keys in case the face recognition isnt working right,Safety,3.0000
890,147,home owner,light bulbs that double down as speakers,i can listen to music in cool places,Entertainment,3.0000
892,147,home owner,fridge with a built in cooling system,food stays fresh longer,Health,1.6667
893,145,home occupant,a feature in the fridge that states when we are running low on items,i would know when to buy more,Energy,4.0000
894,147,home owner,an alarm system that i can monitor anywhere,i can make sure everyone is safe,Safety,1.6667
895,144,home occupant,"my walls to display concert footage, automatically adjust acoustics of the room for optimal sound, and display light effects",I can attend simulated concerts at home,Entertainment,3.3333
896,141,home owner,to know the weather condition automatically to my mobile ,i can know how should i travel to my office ,Safety,1.5000
897,147,home owner,motion sensors,i can track movement,Other,1.3333
898,144,home occupant,"a virtual inventory of my closet, and daily suggestions for outfits from paid fashionistas online",I know what to wear every day,Other,3.3333
899,141,home owner,store and control rain water and water all my plants with the help of technology ,i save water and plants,Energy,3.4000
900,146,home occupant,a feature for dimmed lighting and soft music,I can relax and enjoy my downtime without much effort,Entertainment,3.6667
901,144,parent,"monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs",I know my children are safe and behaving,Other,2.5000
902,146,home occupant,"televisions that are made into the house, without cords showing",there is less mess and less danger for children,Safety,3.2000
903,146,home occupant,"a built in ""SIRI"" like assistant","i can easily organize all events, without having to keep up with a planner, and ask random questions to",Entertainment,4.0000
904,146,home occupant,"to be able to lock and unlock my doors from any location, from my phone","i can easily let neighbors in if necessary, or the kids if they've forgotten their key without having to worry about someone finding a hidden spare",Safety,4.0000
905,139,pet owner,my pet's food and water automatically refilled while I'm away,I can travel without worrying that my pets are fed or thirsty,Health,3.6667
906,150,home occupant,My smart home to set reminders to start laundry and alerts when laundry is done.,I do not forget to do the laundry in order to have fresh clothes.,Energy,4.0000
907,139,parent,videos that monitor the inside of my home,I can view my teenage child's activities while I'm away on vacation or on business,Safety,3.0000
908,150,home occupant,To be Alerted with a sound when the garage is opened.,I can know who is going in and out of the garage.,Safety,3.3333
909,139,home owner,my refrigerator and freezer temperature monitored,"I don't have to worry about food contamination, spoilage or inadequate food storage",Health,3.3333
910,150,pet owner,to be alerted when pets leave the home throught the doggy door,I can know what my pets are up to. ,Safety,3.5000
911,139,home owner,to be alerted when the doors leading into my home are opened while I'm away,I wouldn't have to worry about intruders when I travel and am away from my home,Safety,4.3333
912,151,home owner,my smart home to notify me if the household's carbon footprint is getting too high, we can be more environmentally responsible,Energy,2.3333
913,151,pet owner, my smart home to automatically refill the pet's water and food bowl through an automated system,I know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them..,Health,4.0000
914,139,home occupant,the temperature automatically adjusted inside my home when there are external changes in temperature to compensate,I can be comfortable without having to adjust temperatures manually,Other,2.6667
915,150,home occupant,my smart home to shut off lights when I leave the room,I can save on my energy bill.,Energy,3.0000
916,151,"a command kitchen that controls appliances by voice,", I can remote activate anything even not in the kitchen,Energy,Energy,4.0000
917,139,parent,the door to record the time of day or night it is opened,I can know what time my teenager comes home without having to stay up for him or her,Other,4.6667
918,150,environmentalist,my smart home to control water intake by alerting me when I go above my set use.,I can save on the water bill and help the environment. ,Energy,3.5000
919,151,home owner, The oven to talk with basic information,Cooking can be done properly.,Safety,3.6667
920,152,home occupant,air purity controller,it detects pollution and sensors get active,Health,3.0000
921,150,parent,to know when my kids come home by alerting me.,I know where my kids are.,Safety,2.3333
923,139,person with back problems,"to be able to voice activate lights, television, radio in my home",I don't have to get up when I am in pain,Health,4.0000
924,151,home owner," Room thermostat sensor,",The room is optimal temperature for an occupant .,Energy,2.6667
925,150,home occupant,my smart home to automatically turn on the sprinklers and water the lawn in conjuction with my mobile devices,I can set timers from anywhere and take care of my garden,Energy,3.3333
926,151,home occupant,"my smart phone to come with an app that whenever someone rings the doorbell, I can see on my phone, tablet, computer a picture/video of who it is from anywhere in the house,", we can know who is at the door more securely and be ahead of any possible problems,Safety,3.5000
928,151,home occupant,"My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,",home and/or vehicle-related thefts can be minimized either when we are home or are not.,Safety,3.0000
929,150,home owner,to have logs of when someone steps onto my property via sensors.,I know if someone is coming and going.,Safety,4.0000
930,139,home occupant,the temperature in my home to be monitored inside and outside the home and compare it to temperature settings,I can monitor any deficiencies in insulation in my home and rectify them,Energy,3.5000
931,151,home owner,Retina scan for front door, Nobody else can get in.,Safety,2.5000
932,150,media watcher,my smart home to make reccomendations of the up to date (new) movies that I may enjoy and remind me of shows I have recorded on my dvr.,I can keep up to date on my media.,Entertainment,2.6667
933,139,tv viewer,to lower and raise the volume on my TV verbally from any room in the house,I can save time and physical energy,Entertainment,2.0000
934,150,home occupant,my smart home to alert me when it is time for a meal.,I can keep up with a consisting meal schedule.,Health,4.0000
935,151,home owner," my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day,", I do not have to manually adjust these items each evening,Other,3.0000
937,152,home occupant,my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not,Safety,4.5000
938,152,home occupant,Room thermostats,Protect the room temperature,Energy,3.3333
939,152,home occupant,regulate my bore well motor,Monitor the start and stop the motor running automatically,Safety,4.0000
940,152,home occupant,Smoke identifier ,save the unwanted fire .,Safety,2.0000
941,152,home occupant,floor heating controller,Maintain the floor temperature and good for human life,Health,4.0000
942,152,home occupant,Switch on all electric goods during enter the room,Automatic all electric equipments,Entertainment,2.3333
943,152,home occupant,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each ",easy open and close,Safety,3.5000
944,152,home occupant,Automatic fan regulation,when enter the room and sit down more than 5 min,Health,4.0000
945,152,home occupant,wall mount transmitter,Automatic  regulate the transmitter,Entertainment,2.3333
946,154,a teacher,daily syllabus to be studied with systematic alerts,easy to teach the students,Other,3.6667
947,154,energy saver,it to check each room and turn off lights if a person is not in the room,save the electricity,Energy,2.0000
948,154,a farmer,to regulate the motor ,it is very useful for save the water and electricity,Energy,1.0000
950,154,home maker,To stop the burner,complete the cook then stop the burner automatically,Energy,2.6667
951,154,health monitor,increase the heart beat,to ensure the health fitness,Health,2.5000
952,154,pressure patient,to regulate the pressure,easy to maintain the health problem,Health,2.5000
953,154,a farmer,to know the weather,when the rain come and light is high,Safety,1.5000
954,154,good worker,I know when the shift work to me,easy to maintain the working purposed without failure,Safety,3.0000
955,154,a headmaster,maintain the working hours arrange the good teacher for free students,increase the good result for the school,Other,2.2500
956,155,home occupant,"my smart home to have all the photographs and voices of the people that I want to visit my home recorded and a special tone to be assigned to them when the doorbell rings,", that unwanted visitors can be avoided.,Safety,4.0000
957,155,parent,my smart home to send an alert to my phone when my children cut any electronics on after 10 pm.,energy can be saved and I can monitor their computer usage.,Energy,4.3333
958,155,home occupant,all water temperatures to be pre-programmed and controlled by a voice sensor,the temperatures are safe for children to use.,Safety,2.5000
959,155,caregiver,my smart home to alert me to when my child starts to exhibit signs of an asthma attack by flashing a red light with a human voice alert,I can be aware if I am in another room that my child is sick.,Health,3.0000
960,155,music lover,my smart home to control the volume after 10pm. by automatically turning it down low if it is too loud,my neighbors don't complain about the music playing too loud.,Entertainment,4.6667
961,155,home occupant,my smart home to program the shower stall to cut the water off after 3 minutes in the shower,I can save energy and money by taking shorter showers.,Energy,4.2500
962,155,home occupant,my smart home to preheat my oven and turn on my coffeemaker at 7:00 am,I can save time preparing food in the morning.,Other,2.6667
964,155,home occupant,my smart home to sort through the trash at certain intervals and extract recyclables from the trash,all trash is separated and recycled.,Other,4.0000
965,155,home occupant,a smart home that responds to my voice when I ask for weather and traffic updates by relaying the information through a human-like voice,I can automatically know how much time I have to get to work and what to wear.,Entertainment,3.3333
966,157,cat owner,my cat's food bowl to automatically fill itself when empty or it is time to feed my cat and to seal when the cat is not eating,"my cat's food does not go bad, and so it doesnt go hungry.",Other,4.5000
967,156,home owner,My shower to be cleaned with a device once per week.,The shower stays nice and clean,Health,5.0000
968,157,home owner,my house thermostat to decrease when I am sleeping,I save on heating bills,Energy,1.6667
969,156,home owner,Dog food to be dispensed from a device into my dog's bowl at the same time every day.,My dog will eat at the same time every day.,Other,3.7500
970,157,recording engineer,my house to notify me when someone is going to be entering my recording room,I don't ruin a recording track,Entertainment,4.5000
971,156,parent,Children's programming to be on the TV when my kids get home from school.,They will watch shows I approved of.,Entertainment,3.5000
972,157,worker,my house to set an alarm for me when I request it to,I am not late for things,Health,3.0000
973,156,home owner,To be told I should go to bed and stop working.,I can get up on time the next morning.,Health,4.3333
974,157,gardener,My home to notify me when it is time to water certian house plant,the plants don't die,Other,3.5000
975,158,home occupant,my smart home to alert me when there is difference in elder person's movements.,so that i can know if they are not feeling well.,Health,3.0000
976,156,home owner,I wnt my favorite chair to be is massage mode when I get home.,So that I can relax when I get home.,Health,3.0000
977,157,holiday lover,My house to turn off christmas decorations at night when I do to sleep,"I dont have a fire, or waste energy",Safety,2.0000
978,156,home owner,The shades opened in the morning,I can see the sunlight when it is time to wake up.,Health,2.5000
979,157,video game lover,to be notified when friends log on to the network,I can log on to play with them,Entertainment,2.6667
980,158,home owner,the gate to be opened when an vehicle is coming,It will be easy to park the vehicle,Energy,4.0000
981,156,home owner,The crock pot to turn on at a certain time of the day,When I get home the food I put in the crock pot will be done.,Other,1.5000
982,157,forgetful person,reminders of what I have to do that day every morning when I get up,I dont forget something important,Other,3.0000
983,157,medication taker,a reminder to take my medicine when I lay down in my bed to sleep,I can continue being healthy,Health,3.0000
984,158,home occupant,my smart home to notify me when it detects gas leakage,a disaster can be avoided,Safety,4.0000
985,156,home owner,I want the lights to automatically turn off each time I leave a room,I will save energy by not having uneeded lights on,Energy,1.5000
986,157,laundry doer,my house to tell me when a load is done,thy don't sit in the machine and get gross,Health,2.0000
988,160,cleaner,auto cleaner ,cleanniness and good health,Health,2.3333
989,156,home owner,"my car to be started when I say ""Start Car""",when I go into the garage my car is already running.,Other,4.5000
990,158,home occupant,temperature sensors to control the heat of the hob or oven,it cut off the power if the heat reaches the safety limit,Energy,3.2500
991,160,entertainer,I want my home to play soothing music while evening time,i can relax,Entertainment,3.0000
992,160,house keeper,Auto humidifier when necessary,healthy level of humidity is in the air,Health,2.6667
993,158,home owner,my smart home to alert me when i have low or high amount of sleep.,i can maintain a good sleep,Health,3.5000
995,160,as a house keeper,I want to check whether i have closed all the taps,prevent water loss,Energy,3.5000
996,160,servant,"alert me when something usual happened like fire,smoke",prevent from bad things that might happen,Safety,1.3333
997,158,home occupant,an emergency alarm which send messages to pre selected numbers,i can alert others something is wrong.,Safety,3.2500
998,160,as a parent,monitor when the baby is waking up from sleep,turn my concentration towards by baby,Safety,5.0000
999,158,home occupant,automatic lighting system which turns on light after getting dark,i don't need to worry about switching on and off lights when i am out of home.,Energy,1.8333
1000,158,social network participant,an feature to alert me when i spend too much time on social networks,i can get back to my work,Entertainment,2.0000
1001,160,house keeper,automatically turn off gas during earthquake or fire,remain safe during natural disaster,Safety,4.5000
1002,160,manager,"alert me when i need to service my fridge, washing machine",so that i can do that in time,Safety,2.0000
1003,159,"person who is highly active online,",my new e-mails to be listed and read out to me when I wake up in the morning,I don't have to grope for my cell phone to check my e-mails every day when I wake up.,Other,4.5000
1004,160,home occupant,hallway motion detectors,so that safety is increased,Safety,2.3333
1006,159,person who likes to keep her windows open,my windows to automatically close when it rains,I don't get the things in my room wet.,Other,4.0000
1007,158,home occupant,my smart home to turn on Air conditioner when the temperature is high and can sense human presence in the room,i can maintain good  room temperture,Energy,3.6667
1008,159,"person who owns a cat who only drinks water from the bath tub,","to be notified whenever the cat is sitting in the bath tub, so I can turn on the tap for him.",so I can turn on the tap for him.,Other,2.6667
1009,159,"person who checks her mailbox regularly,",to be notified whenever I get new mail,I don't have to spend time checking the mailbox if there is no new mail.,Other,3.6667
1010,159,person who often cook her own meals,suggestions and recipes of what I can make for a meal with whatever ingredients I have in the fridge,I will be able to make full use of my groceries.,Other,4.0000
1011,159,person who enjoys listening to music,nice instrumental music to get turned on in the bathroom whenever I enter it,I can enjoy music while in the bathroom taking a shower.,Entertainment,3.6667
1012,159,cat owner,to be notified whenever my cat uses the cat litter,I can clean it immediately and my cat can enjoy clean cat litter.,Other,3.0000
1013,159,person who values safety,to be notified when the stovetop is on for an inordinate amount of time,my food doesn't burn or set the house on fire.,Safety,3.0000
1014,159,cat owner,to be reminded before I leave the house if I have left food and water for the cat,the cat can have water to drink and food to eat when I am out.,Other,3.0000
1015,159,cat owner,to be notified when the level of cat litter has run low,I can add more cat litter to ensure that my cat has enough to do his business.,Other,3.0000
1016,162,home owner,I want the lights turned off after 6 am if nobody is at home,none will know that nobody is not at home.,Safety,3.0000
1017,162,home owner,the unnessary taps to turn off,I can save water.,Energy,2.6667
1018,162,home owner,the motor to switch off when the tank is full,I can save the bill.,Energy,2.6667
1019,162,home owner,the lights to turn on at 6 if nobody is at home,people will think that we are at home.,Safety,3.6667
1020,162,home owner,i want the windows to lock,no flies come in,Health,2.0000
1021,162,home owner,I want to get alert calls when the gas is going to finish,I can get a new one.,Safety,2.6667
1022,162,home owner,the house to get cleaned when we are outdoors,my house remains clean,Health,3.6667
1023,162,home owner,the windows to remain dust free,we remain healthy,Health,4.0000
1024,162,home owner,I want my vehicles to get auto locked at night,it remains safe.,Safety,2.0000
1025,162,home owner,to get alars when the nearby shop is going to get closed,I do not run short of things.,Health,3.0000
1026,162,parent,to lock the cartoon channels after 1 hour,my kids do not waste time.,Entertainment,3.3333
1027,162,parent,I want to get alert calls when my kids reach home,I can remain calm.,Safety,2.0000
1028,169,home owner,the temperature in my house to become more energy efficient when I leave but raise again when I come back,energy and money can be saved without it being inconvenient ,Energy,2.0000
1029,169,home owner,my window blinds to automatically block out the sun,I don't have to walk around pulling their strings,Energy,4.0000
1030,169,home occupant,a feature that detects when the room could use a boost of aromatherapy,I can enjoy the pleasant smells and relax,Health,4.6667
1031,169,home occupant,lights that dim as well as change color,my eyes are not bothered by bright lights and my vision is not impaired by strong white light at night,Health,4.0000
1032,169,food preparer,a system set up through the house that notifies me when items are cooked or other kitchen-related messages,I don't have to stay in the kitchen at all times or get confused when multiple timers are set at once,Entertainment,3.6667
1033,169,responsible pet owner,a way to view a live stream of my pet when I am out of the house,I can make sure my pet is all right,Safety,4.0000
1034,170,home owner,Floor Detection Vaccum,It will indicate when the floor is at a level of dirtiness  so that it can keep the floor clean,Health,4.3333
